Gene_names	CTRL_4h_1	CTRL_4h_2	CTRL_4h_3	SWTX143_50mpk_4h_1	SWTX143_50mpk_4h_2	SWTX143_50mpk_4h_3
TOX2	28	50	35	59	53	38
JPH2	64	130	110	52	30	69
OSER1	170	290	223	218	187	190
OSER1-AS1	6	11	14	11	18	17
GDAP1L1	1	3	0	1	1	3
FITM2	17	19	20	15	9	21
R3HDML	0	1	1	0	2	0
HNF4A	0	0	0	0	0	0
HNF4A-AS1	0	0	0	0	0	0
MIR3646	0	0	0	0	0	0
LINC01430	0	0	0	0	0	0
LINC01620	1	0	0	1	0	0
TTPAL	222	293	234	134	125	117
SERINC3	1104	2132	1726	1359	1229	1010
PKIG	69	111	88	99	127	121
ADA	53	39	24	51	43	53
LINC01260	0	2	0	0	1	0
KCNK15-AS1	0	2	3	1	2	1
WISP2	3	4	4	3	2	5
KCNK15	4	11	11	4	2	5
RIMS4	5	16	16	4	7	3
YWHAB	1489	2437	1894	1640	1500	1408
PABPC1L	299	667	470	410	369	358
TOMM34	317	457	316	266	235	213
STK4-AS1	2	4	2	4	2	1
STK4	338	484	373	254	213	182
KCNS1	8	9	4	4	6	5
WFDC5	1	1	0	0	1	0
WFDC12	1	1	1	0	0	1
PI3	453	1000	2328	27	20	21
SEMG1	0	0	0	0	0	0
SEMG2	0	0	0	0	0	0
SLPI	11026	22347	24923	4015	3865	3753
MATN4	3	0	1	2	4	2
RBPJL	0	0	0	0	1	1
SDC4	2011	2690	2440	1364	1285	1131
SYS1	163	267	217	250	196	167
SYS1-DBNDD2	0	0	0	0	0	0
TP53TG5	4	18	7	8	9	8
DBNDD2	0	5	8	3	6	2
PIGT	1066	1510	1354	908	866	855
MIR6812	0	1	0	0	0	0
WFDC2	2	4	0	0	0	0
SPINT3	0	0	0	0	0	0
WFDC6	0	0	0	0	0	0
EPPIN-WFDC6	0	0	0	0	1	1
EPPIN	0	2	0	0	2	0
WFDC8	0	0	1	0	0	1
WFDC9	0	0	0	0	0	0
WFDC10A	0	0	0	0	0	0
WFDC11	0	0	0	0	0	1
WFDC10B	0	1	2	0	0	0
WFDC13	1	0	1	0	0	0
MIR3617	0	0	0	0	0	0
SPINT4	0	0	0	0	0	0
WFDC3	0	1	4	0	2	1
SMG9	258	552	403	232	201	199
UBE2C	222	344	233	126	108	145
TNNC2	1	0	89	116	290	3591
SNX21	103	235	171	177	169	147
ACOT8	65	127	95	109	102	90
ZSWIM3	16	38	21	35	25	25
ZSWIM1	59	109	83	93	84	76
SPATA25	2	3	3	3	5	7
NEURL2	6	7	6	12	5	10
CTSA	925	1034	889	793	925	621
PLTP	65	81	83	76	61	64
PCIF1	128	235	206	219	206	206
ZNF335	181	273	268	198	179	194
MMP9	102	1	9	48	61	8
SLC12A5	23	24	15	29	32	18
NCOA5	199	333	229	227	246	209
CD40	1	0	1	0	1	0
CDH22	4	5	3	5	14	6
SLC35C2	242	448	377	301	255	266
ELMO2	201	276	211	166	144	150
ZNF663P	0	0	0	0	0	0
MKRN7P	0	0	0	0	0	0
ZNF334	0	0	0	0	0	0
OCSTAMP	0	0	0	0	0	0
SLC13A3	4	6	6	4	5	6
TP53RK	64	116	102	51	63	56
SLC2A10	0	0	0	0	0	0
EYA2	0	0	0	1	0	0
MIR3616	0	0	0	0	0	0
ZMYND8	844	1355	1009	848	801	724
LOC100131496	0	2	1	2	2	0
LOC101927377	2	1	6	1	1	3
NCOA3	390	628	530	427	396	417
SULF2	843	1359	979	1535	1291	1304
LINC01522	0	0	0	0	1	0
LINC01523	0	0	0	0	0	0
LINC00494	1	0	0	0	0	0
PREX1	48	36	54	46	47	43
ARFGEF2	392	482	409	328	281	279
CSE1L-AS1	1	0	0	0	1	0
CSE1L	1065	1467	1079	776	595	762
STAU1	927	1614	1325	983	895	784
DDX27	313	527	396	348	301	279
ZNFX1	868	1299	1076	880	740	635
ZFAS1	602	1004	896	665	689	606
SNORD12C	0	0	0	0	0	0
SNORD12B	3	5	5	2	3	9
SNORD12	3	3	5	2	1	1
KCNB1	89	137	60	264	194	259
PTGIS	6999	14337	10020	8550	7812	7056
B4GALT5	1205	2971	2043	856	686	699
SLC9A8	162	371	253	212	178	200
SPATA2	61	131	84	70	82	67
LOC105372653	0	0	1	0	1	0
RNF114	231	389	327	264	254	215
SNAI1	21	21	29	12	8	5
TRERNA1	0	0	0	0	0	0
UBE2V1	7	8	7	14	7	1
TMEM189-UBE2V1	0	0	0	0	0	0
TMEM189	99	191	160	66	67	71
LINC01273	0	5	1	4	3	1
CEBPB-AS1	190	324	286	189	206	186
CEBPB	504	730	784	491	479	426
LINC01272	0	1	0	0	0	0
LINC01270	15	28	21	33	30	34
LINC01271	10	28	15	32	15	17
PTPN1	776	1640	1201	616	536	528
MIR645	0	0	1	0	1	0
FAM65C	3	8	1	3	6	2
MIR1302-5	0	0	0	0	0	0
LOC100506175	0	0	1	0	0	0
PARD6B	43	81	52	128	80	82
BCAS4	46	64	68	43	42	35
ADNP	970	1302	1133	1147	1051	1004
ADNP-AS1	13	26	28	20	25	31
COL9A1	0	0	0	4	3	5
CD36	0	0	1	1	0	3
MOCS3	25	67	44	51	44	40
KCNG1	20	22	13	9	14	9
NFATC2	39	53	52	93	82	104
MIR3194	0	0	0	0	0	0
ATP9A	206	452	373	480	476	395
SALL4	1	1	1	3	0	0
LINC01429	0	0	0	0	0	0
ZFP64	119	199	151	124	117	98
LINC01524	0	0	0	0	0	0
TSHZ2	15	9	18	19	25	30
LOC101927770	0	4	5	4	3	5
ZNF217	309	601	361	282	230	269
LOC105372672	0	0	0	0	0	0
SUMO1P1	0	1	0	0	0	0
BCAS1	1	1	1	0	0	0
MIR4756	0	0	0	0	0	0
CYP24A1	43	40	35	2	1	2
PFDN4	69	89	88	72	52	46
DOK5	11	7	5	17	6	13
LINC01441	0	0	0	0	0	0
LINC01440	0	0	0	0	0	0
CBLN4	0	0	0	0	1	0
MC3R	0	0	0	0	0	0
FAM210B	86	136	123	182	173	150
AURKA	209	256	193	88	84	108
CSTF1	152	219	158	147	119	115
CASS4	3	23	8	1	5	1
RTFDC1	349	655	507	407	396	362
GCNT7	2	4	1	2	11	3
FAM209A	1	0	2	1	2	2
FAM209B	0	3	2	2	1	2
LOC105372682	0	0	0	0	0	0
TFAP2C	26	48	29	35	33	40
BMP7-AS1	0	0	0	0	0	0
MIR4325	0	0	0	0	0	0
SPO11	0	0	0	0	0	0
RAE1	176	247	215	179	140	118
MTRNR2L3	0	0	1	0	0	0
RBM38	73	78	69	67	66	74
CTCFL	0	0	0	0	0	0
PCK1	0	30	12	82	117	29
ZBP1	0	0	0	1	0	1
PMEPA1	1320	1449	1432	701	758	609
NKILA	2	4	5	0	0	0
MIR4532	0	0	0	0	0	0
C20orf85	0	0	0	0	0	0
ANKRD60	0	0	0	0	1	0
PPP4R1L	29	44	44	30	26	24
RAB22A	363	607	455	350	290	289
VAPB	560	930	755	564	527	523
APCDD1L	3	4	1	3	1	0
APCDD1L-AS1	1	0	1	2	2	0
LOC79160	0	1	0	0	1	0
STX16	632	1136	841	857	737	657
STX16-NPEPL1	1	4	1	4	1	2
NPEPL1	4	13	6	7	5	4
LOC105372695	0	0	0	0	0	0
MIR296	1	1	1	0	0	1
MIR298	0	0	0	0	0	0
GNAS-AS1	2	1	3	0	2	0
GNAS	7147	7284	7308	6218	6796	7644
LOC101927932	0	0	3	3	1	1
NELFCD	316	529	452	387	401	370
CTSZ	717	1208	1010	675	676	627
TUBB1	1	7	7	6	8	6
ATP5E	0	1	2	1	1	0
SLMO2-ATP5E	0	0	0	0	0	0
PRELID3B	176	324	257	175	133	134
ZNF831	0	0	0	0	0	0
EDN3	0	0	0	0	0	1
PHACTR3	0	0	0	0	1	1
LOC100506384	0	0	0	0	0	0
SYCP2	7	2	6	4	4	2
FAM217B	88	179	114	99	133	118
PPP1R3D	50	79	60	59	67	42
CDH26	3	2	3	4	2	3
C20orf197	0	1	0	1	0	0
LOC729296	0	0	0	0	0	0
MIR646HG	0	0	0	0	0	0
MIR646	0	0	0	0	0	0
LOC101928048	0	0	0	0	0	0
MIR4533	0	0	0	0	0	0
MIR548AG2	0	0	0	0	0	0
LOC100506470	0	0	0	0	0	0
CDH4	360	623	538	193	144	147
MIR1257	0	0	0	0	0	1
TAF4	125	173	162	144	154	120
MIR3195	0	0	0	0	0	0
LSM14B	223	313	209	204	222	186
PSMA7	771	1201	1053	684	731	681
SS18L1	121	179	153	136	112	120
MTG2	144	232	182	194	186	173
HRH3	0	0	0	2	1	1
OSBPL2	143	250	244	140	131	138
ADRM1	590	1057	837	509	561	503
LAMA5	5274	10696	8647	6193	5696	5799
MIR4758	0	0	0	0	0	0
LAMA5-AS1	114	203	170	87	88	108
RPS21	1069	1715	1494	1513	1417	1469
CABLES2	118	211	150	159	175	166
RBBP8NL	0	0	0	0	0	0
GATA5	31	52	42	64	79	62
C20orf166-AS1	0	0	0	2	1	1
MIR1-1HG	0	0	0	0	0	0
MIR1-1	0	0	0	0	0	0
MIR133A2	0	0	0	0	0	0
SLCO4A1	35	39	28	22	28	28
SLCO4A1-AS1	4	6	12	1	3	6
NTSR1	3	1	1	3	2	2
LINC00659	0	0	1	0	0	1
MRGBP	146	259	217	133	117	120
OGFR-AS1	4	5	5	5	4	3
OGFR	144	362	277	216	237	197
COL8A1	375	1797	1145	118	113	99
COL6A1	9410	15957	13977	12241	12420	9802
TCFL5	134	197	158	125	123	106
DPH3P1	20	28	14	13	12	11
DIDO1	421	775	571	629	500	566
GID8	249	401	353	312	268	230
SLC17A9	0	0	0	0	0	0
BHLHE23	0	0	0	0	0	0
LOC63930	0	0	0	0	0	0
LINC00029	0	0	0	0	0	0
LINC01056	0	0	0	0	0	0
HAR1B	0	1	1	1	0	0
HAR1A	0	1	0	0	0	0
MIR124-3	0	0	0	0	0	0
YTHDF1	324	448	332	302	254	294
BIRC7	2	0	2	1	0	0
MIR3196	0	0	0	0	0	0
NKAIN4	0	2	2	1	0	1
FLJ16779	0	0	0	0	0	0
ARFGAP1	512	733	617	490	479	457
MIR4326	0	3	1	0	0	2
COL20A1	2	1	0	1	2	0
CHRNA4	0	0	1	0	0	2
LOC100130587	0	0	0	0	0	0
KCNQ2	0	2	0	1	1	5
EEF1A2	238	374	329	312	357	621
PPDPF	964	1703	1264	1339	1427	1171
PTK6	14	38	22	31	29	26
SRMS	0	6	2	1	4	1
FNDC11	2	5	6	0	1	3
HELZ2	326	706	605	344	301	228
GMEB2	90	157	108	94	94	90
LOC100505771	8	21	11	15	9	10
STMN3	542	1181	823	1023	999	956
RTEL1	3	4	7	6	6	4
RTEL1-TNFRSF6B	0	0	0	0	0	0
TNFRSF6B	0	0	1	1	0	0
ARFRP1	125	229	161	195	161	164
ZGPAT	77	124	115	122	110	104
LIME1	72	121	110	109	79	76
SLC2A4RG	670	1059	814	835	744	752
ZBTB46	112	213	142	148	110	98
ZBTB46-AS1	0	0	0	1	0	0
ABHD16B	16	26	21	23	16	14
TPD52L2	938	1677	1268	728	660	658
DNAJC5	352	787	545	402	331	349
MIR941-1	0	0	0	0	0	0
MIR941-2	0	0	0	0	0	0
MIR941-3	0	0	0	0	0	0
MIR941-4	0	0	0	0	0	0
MIR941-5	0	0	0	0	0	0
UCKL1	154	288	239	196	158	151
MIR1914	5	13	3	10	12	10
MIR647	3	14	7	8	6	2
UCKL1-AS1	28	65	62	44	64	44
ZNF512B	342	583	464	505	450	401
SAMD10	24	44	50	55	66	46
PRPF6	507	778	675	583	538	532
LINC00176	8	8	10	6	7	6
SOX18	36	42	40	30	52	43
TCEA2	81	212	167	285	225	208
RGS19	82	176	131	93	97	76
MIR6813	0	0	0	0	0	0
OPRL1	0	2	4	1	4	2
LKAAEAR1	0	0	0	1	0	1
NPBWR2	0	0	0	0	0	0
MYT1	3	2	0	1	3	2
PCMTD2	120	229	189	292	233	247
LINC00266-1	2	2	3	1	1	1
MIR3648-1	0	0	0	0	0	0
MIR3648-2	0	0	0	0	0	0
MIR3687-1	0	0	0	0	0	0
MIR3687-2	0	0	0	0	0	0
TEKT4P2	165	339	286	338	281	280
TPTE	0	0	0	0	0	0
BAGE4	0	0	0	0	0	0
BAGE3	0	0	0	0	0	0
BAGE2	0	0	0	0	0	0
BAGE5	0	0	0	0	0	0
BAGE	0	0	0	0	0	0
ANKRD30BP2	0	0	0	0	0	0
MIR3156-3	0	0	0	0	0	0
LOC102724188	0	0	0	0	0	0
POTED	0	0	0	0	0	0
MIR3118-1	0	0	0	0	0	0
MIR8069-1	0	0	0	0	0	0
MIR8069-2	0	0	0	0	0	0
CYP4F29P	2	0	0	2	1	0
ANKRD20A11P	0	0	1	1	2	0
LIPI	1	0	0	1	0	1
RBM11	0	1	0	0	0	0
ABCC13	0	0	0	0	0	0
HSPA13	511	805	717	354	276	294
SAMSN1	5	2	5	0	0	1
SAMSN1-AS1	0	0	1	0	0	0
LOC388813	1	1	1	0	1	2
NRIP1	269	384	366	304	294	228
USP25	289	425	295	377	346	352
MIR99AHG	0	0	0	1	0	0
MIR99A	0	0	0	0	0	0
MIRLET7C	0	0	0	0	0	0
MIR125B2	0	0	0	0	0	0
LINC01549	0	0	0	0	0	0
CXADR	811	1593	1213	996	820	911
BTG3	261	415	396	264	192	204
C21orf91-OT1	0	0	1	0	0	0
C21orf91	33	48	34	67	51	50
CHODL-AS1	0	0	0	0	0	0
CHODL	2	2	0	4	4	1
TMPRSS15	0	0	0	0	0	0
MIR548XHG	0	0	0	0	0	0
MIR548X	0	0	0	0	0	0
LINC00320	0	0	0	0	0	0
NCAM2	7	21	8	28	22	25
LINC00317	0	0	0	0	0	0
LINC01425	0	0	0	0	0	0
LOC101927843	0	0	0	0	0	0
LINC00308	0	0	0	0	0	0
MIR6130	0	0	0	0	0	0
D21S2088E	0	0	0	0	0	0
LOC101927869	0	0	0	0	0	0
LOC105372751	0	0	0	0	0	0
LOC339622	0	0	0	0	0	0
LINC00158	0	2	0	0	1	1
MIR155HG	0	0	0	0	1	1
MIR155	0	0	0	0	0	0
LINC00515	1	0	0	0	0	1
MRPL39	87	102	78	86	63	69
JAM2	2	4	3	5	8	2
ATP5J	245	469	342	351	273	277
GABPA	319	440	379	348	285	304
APP	7191	12561	10885	7498	7076	6482
CYYR1-AS1	2	2	0	0	0	0
CYYR1	0	0	1	0	0	1
ADAMTS1	578	993	636	134	106	197
ADAMTS5	181	216	178	115	94	93
MIR4759	0	0	0	0	0	0
LINC00113	3	7	6	12	10	8
LINC00314	0	0	0	0	0	0
LOC284825	0	0	0	0	0	0
LOC101927973	0	0	0	0	0	0
LINC00161	0	0	0	0	0	0
N6AMT1	31	70	39	48	47	46
LTN1	185	299	214	221	188	189
RWDD2B	82	154	111	102	73	52
USP16	282	344	368	247	213	222
CCT8	967	1479	1042	949	697	806
MAP3K7CL	11	20	16	43	33	27
LINC00189	0	0	0	0	0	0
BACH1	213	348	350	258	240	199
BACH1-IT2	0	0	0	0	1	0
GRIK1	0	8	4	0	1	4
GRIK1-AS2	3	0	1	1	2	0
GRIK1-AS1	0	0	0	0	0	0
CLDN17	0	0	0	0	0	0
LINC00307	0	0	0	0	0	0
CLDN8	0	0	0	0	0	0
KRTAP24-1	0	0	0	0	0	0
KRTAP25-1	0	0	0	0	0	0
KRTAP26-1	0	0	0	0	0	0
KRTAP27-1	0	0	0	0	0	0
KRTAP23-1	0	0	0	0	0	0
KRTAP13-2	0	0	0	0	0	0
MIR4327	0	0	0	0	0	0
KRTAP13-1	0	0	0	0	0	0
KRTAP13-3	0	0	0	0	0	0
KRTAP13-4	0	0	0	0	0	0
KRTAP15-1	0	0	0	0	0	0
KRTAP19-1	0	0	0	0	0	0
KRTAP19-2	0	0	0	0	0	0
KRTAP19-3	0	0	0	0	0	0
KRTAP19-4	0	0	0	0	0	0
KRTAP19-5	0	0	0	0	0	0
KRTAP19-6	0	0	0	0	0	0
KRTAP19-7	0	0	0	0	0	0
KRTAP22-2	0	0	0	0	0	0
KRTAP6-3	0	0	0	0	0	0
KRTAP6-2	0	0	0	0	0	0
KRTAP22-1	0	0	0	0	0	0
KRTAP6-1	0	0	0	0	0	0
KRTAP20-1	0	0	0	0	0	0
KRTAP20-4	0	0	0	0	0	0
KRTAP20-2	0	0	0	0	0	0
KRTAP20-3	0	0	0	0	0	0
KRTAP21-3	0	0	0	0	0	0
KRTAP21-2	0	0	0	0	0	0
KRTAP21-1	0	0	0	0	0	0
KRTAP8-1	0	0	1	0	0	0
HIPK4	5	2	5	2	2	4
KRTAP11-1	0	0	0	0	0	0
KRTAP19-8	0	0	0	0	0	0
TIAM1	63	43	52	34	23	45
LOC150051	1	1	0	0	0	1
SOD1	707	1214	895	994	771	825
SCAF4	294	409	360	267	241	239
HUNK	17	36	26	34	32	27
LINC00159	1	0	0	0	0	0
MIS18A	103	127	102	83	89	78
MRAP	15	32	11	17	19	13
URB1	312	534	429	331	218	245
SNORA80A	0	0	0	0	0	0
URB1-AS1	10	8	17	10	10	12
TCP10L	5	5	7	8	2	9
C21orf59	121	187	188	138	135	132
SYNJ1	107	123	108	96	81	65
PAXBP1-AS1	37	53	42	49	39	55
PAXBP1	245	302	271	323	279	273
C21orf62-AS1	1	0	2	3	3	1
C21orf62	0	0	0	2	0	1
LOC102724502	0	0	0	0	0	0
OLIG2	0	0	0	0	0	0
LINC00945	0	0	0	0	0	0
OLIG1	0	0	0	0	0	0
LOC101928107	0	0	0	0	0	0
LINC01548	0	0	0	0	0	0
IFNAR2	194	333	274	236	222	186
IL10RB-AS1	5	10	11	11	10	5
IL10RB	403	723	603	637	573	468
IFNAR1	699	1233	963	921	697	735
IFNGR2	255	542	465	391	332	302
TMEM50B	214	353	356	268	193	208
DNAJC28	5	3	2	3	4	3
GART	497	827	592	462	355	403
SON	2172	2823	2637	2466	2360	2330
MIR6501	0	0	0	0	0	0
DONSON	172	278	204	142	114	114
CRYZL1	72	126	126	136	107	112
ITSN1	1553	2364	1952	1581	1364	1362
ATP5O	461	809	648	615	519	574
LINC00649	17	32	22	22	22	29
LOC101928126	7	25	16	20	14	12
SLC5A3	216	510	331	200	152	159
MRPS6	147	272	212	165	160	155
LINC00310	1	3	2	2	2	1
KCNE2	2	4	4	3	3	2
SMIM11A	0	0	0	0	0	0
SMIM11B	0	0	0	0	0	0
C21orf140	2	12	8	15	11	13
KCNE1	3	14	22	3	5	8
RCAN1	584	776	920	137	95	138
CLIC6	0	0	0	2	1	0
LINC00160	0	0	0	0	0	0
LINC01426	2	8	3	2	4	4
RUNX1	713	1082	856	527	520	399
RUNX1-IT1	0	0	0	0	0	0
LOC100506403	0	0	0	0	0	0
MIR802	0	0	0	0	0	0
LOC101928269	0	0	0	0	0	0
LINC01436	0	0	0	0	0	0
SETD4	96	156	111	135	102	100
LOC100133286	58	96	75	72	67	45
CBR1	161	295	245	191	158	157
CBR3-AS1	20	14	6	10	6	11
CBR3	18	16	20	17	21	21
DOPEY2	107	162	130	109	94	93
MORC3	189	282	209	252	216	195
CHAF1B	100	136	108	65	47	74
CLDN14	5	6	7	2	0	3
SIM2	54	103	89	107	100	109
HLCS	110	237	165	140	127	124
RIPPLY3	0	0	0	0	0	0
LOC105372795	1	6	4	3	4	0
PIGP	34	67	48	55	29	38
TTC3	1361	2206	2014	1958	1708	1536
DSCR9	1	4	1	2	4	2
DSCR3	173	358	224	192	171	159
DYRK1A	413	459	445	461	448	415
KCNJ6	0	0	0	0	0	0
DSCR4	0	0	0	0	0	0
DSCR8	0	0	0	0	0	0
DSCR10	0	0	0	0	0	0
KCNJ15	7	1	2	1	1	0
LINC01423	0	0	0	0	0	0
ERG	11	8	9	6	24	25
LINC00114	0	0	0	0	0	0
ETS2	282	268	252	227	230	174
LOC101928398	0	0	0	0	0	0
LOC400867	0	0	0	0	0	0
LOC101928435	0	0	0	0	0	0
PSMG1	125	164	149	88	66	116
BRWD1	264	446	391	474	341	380
BRWD1-IT2	1	1	0	1	0	1
BRWD1-AS1	0	1	0	0	0	0
HMGN1	1011	1566	1296	984	953	921
WRB-SH3BGR	0	0	0	0	0	0
WRB	80	127	97	122	80	113
LCA5L	12	13	8	16	9	12
SH3BGR	0	0	2	1	2	1
MIR6508	0	0	0	0	0	0
B3GALT5-AS1	0	0	0	0	0	0
B3GALT5	0	0	0	0	0	0
PCP4	0	0	0	0	0	0
DSCAM	0	1	0	1	1	1
MIR4760	0	0	0	0	0	0
DSCAM-AS1	0	0	0	0	0	0
DSCAM-IT1	0	0	0	0	0	0
LINC00323	3	6	7	6	1	2
MIR3197	0	0	1	0	0	0
BACE2	992	1975	1698	739	587	508
PLAC4	6	4	1	0	2	2
FAM3B	0	4	0	0	0	0
MX2	112	282	347	59	27	16
MX1	796	1535	1720	714	644	508
TMPRSS2	0	0	0	2	0	1
LINC00111	0	0	0	0	0	0
LINC00479	3	4	6	1	0	4
LINC00112	0	0	0	0	0	0
RIPK4	5	32	27	22	16	12
MIR6814	0	0	0	0	0	0
PRDM15	75	117	114	74	86	83
PRDM11	23	63	36	55	70	52
C2CD2	234	431	290	242	227	185
SNORA91	0	0	0	0	0	0
ZBTB21	173	254	249	119	108	119
ZNF295-AS1	0	1	2	0	0	0
UMODL1	1	0	1	0	0	0
UMODL1-AS1	0	0	0	0	0	0
ABCG1	34	7	21	153	211	106
TFF3	0	0	0	0	1	0
TFF2	0	0	0	0	0	0
TFF1	0	0	0	0	0	0
TMPRSS3	216	270	361	535	451	444
UBASH3A	2	0	4	4	4	0
RSPH1	2	0	1	1	4	1
LOC101930094	0	0	0	0	0	0
SLC37A1	82	204	190	130	123	102
LOC101928233	0	0	0	0	0	0
PDE9A	14	22	25	18	24	37
LOC101928311	0	0	0	0	1	0
WDR4	87	119	86	47	38	46
NDUFV3	193	302	247	208	168	181
ERVH48-1	4	0	0	3	2	1
MIR5692B	0	0	0	0	0	0
PKNOX1	109	181	138	163	139	109
CBS	1	3	2	0	0	0
CBSL	0	0	0	0	0	0
U2AF1	0	0	0	0	0	0
U2AF1L5	4	3	6	3	4	3
FRGCA	0	0	0	0	0	0
LOC106780825	0	0	0	0	0	0
CRYAA	0	0	0	0	0	0
LOC102724652	0	0	0	0	0	0
LINC00322	0	0	0	0	0	0
TCONS_00029157	0	0	0	0	0	0
LOC102724428	0	0	0	0	0	0
SIK1	0	0	0	0	0	0
LINC00319	28	58	52	27	30	31
LOC102724354	1	0	0	0	0	0
LINC00313	0	1	0	0	0	0
HSF2BP	24	36	50	17	14	17
MIR6070	0	0	0	0	0	0
RRP1B	254	406	337	278	207	176
PDXK	878	1938	1567	1116	960	779
CSTB	329	761	671	348	299	304
RRP1	117	221	203	138	134	143
AATBC	10	11	9	18	13	11
AGPAT3	706	1228	924	655	562	512
TRAPPC10	378	507	486	359	282	266
PWP2	144	222	175	99	98	120
C21orf33	248	419	318	312	290	280
ICOSLG	148	200	178	192	141	154
DNMT3L	3	14	5	4	6	3
LOC105372833	0	1	4	1	5	0
AIRE	1	1	0	0	0	0
PFKL	720	1365	1229	769	692	657
C21orf2	87	186	140	134	140	121
TRPM2	13	24	19	2	1	3
TRPM2-AS	0	0	0	0	0	0
LRRC3-AS1	2	2	0	1	1	0
LRRC3	52	79	72	40	41	43
TSPEAR	0	1	0	0	0	0
TSPEAR-AS1	2	2	1	5	0	2
TSPEAR-AS2	0	0	0	0	0	0
KRTAP10-1	0	0	0	0	0	0
KRTAP10-2	0	0	0	0	0	0
KRTAP10-3	0	0	0	0	0	0
KRTAP10-4	0	0	0	0	0	0
KRTAP10-5	0	0	0	0	0	0
KRTAP10-6	0	0	0	0	0	0
KRTAP10-7	0	0	0	0	0	0
KRTAP10-8	0	0	0	0	0	0
KRTAP10-9	0	0	0	0	0	0
KRTAP10-10	0	0	0	0	0	0
KRTAP10-11	0	0	0	1	0	0
KRTAP12-4	0	0	0	0	0	0
KRTAP12-3	0	0	0	0	0	0
KRTAP12-2	0	0	0	0	0	0
KRTAP12-1	0	0	0	0	0	0
KRTAP10-12	0	0	0	0	0	0
UBE2G2	578	1035	909	794	622	723
LINC01424	0	2	1	3	1	1
SUMO3	1002	1686	1449	1021	914	891
PTTG1IP	2502	4809	4254	2694	2294	2272
ITGB2	97	129	134	208	170	208
ITGB2-AS1	19	14	19	33	30	29
LINC01547	15	17	15	31	24	26
FAM207A	79	115	107	82	63	67
LINC00163	0	2	3	0	0	3
PICSAR	2	7	7	0	0	0
SSR4P1	11	8	9	11	6	5
ADARB1	616	958	828	428	336	319
LINC00334	0	1	2	0	0	0
POFUT2	454	845	714	578	531	511
LOC642852	211	315	245	326	288	272
LINC00316	2	2	2	2	2	4
COL18A1-AS2	0	0	0	0	0	1
COL18A1-AS1	2	3	0	2	2	2
MIR6815	0	0	0	0	0	0
SLC19A1	69	106	85	65	51	72
LOC100129027	0	0	0	0	0	0
PCBP3	42	28	29	10	28	28
LOC101928796	0	7	5	1	11	4
CPXM1	21	10	12	6	33	23
KIRREL2	0	1	0	1	0	3
GNGT1	0	0	0	0	0	0
VAT1L	31	81	67	94	105	118
PRR12	253	459	385	385	334	320
FTCD	3	21	17	11	10	10
SPATC1L	46	122	78	46	71	40
LSS	367	1554	1186	252	230	251
MCM3AP-AS1	96	221	149	160	125	103
MCM3AP	453	717	543	443	362	396
YBEY	26	67	48	50	51	38
C21orf58	39	72	50	51	28	48
PCNT	210	459	294	253	190	208
DIP2A	338	631	505	456	407	373
DIP2A-IT1	1	1	0	1	0	1
S100B	0	0	0	0	0	0
PRMT2	433	976	769	668	609	556
DUXAP8	0	0	2	0	1	0
LINC01297	0	0	0	0	0	0
POTEH	0	0	0	0	0	0
OR11H1	0	0	0	0	0	0
CCT8L2	0	0	0	0	0	0
TPTEP1	30	70	50	40	35	47
ANKRD62P1-PARP4P3	0	2	4	2	1	2
LOC101929350	0	0	1	0	0	0
XKR3	0	0	0	0	1	0
HSFY1P1	0	0	0	0	0	0
GAB4	0	0	0	0	0	0
CECR7	0	0	0	0	0	0
IL17RA	68	140	113	89	68	59
CECR6	2	2	0	3	2	1
LOC100996342	0	0	0	0	0	0
CECR5	33	59	57	32	39	35
CECR5-AS1	0	0	0	0	0	0
CECR1	0	0	0	0	0	0
CECR3	0	0	0	0	0	0
CECR2	5	6	1	8	4	7
SLC25A18	2	5	2	4	3	5
LOC101929372	1	0	0	0	0	0
ATP6V1E1	329	427	310	288	264	254
BCL2L13	232	419	325	287	272	223
BID	141	252	230	138	116	106
MIR3198-1	0	0	0	0	0	0
LINC00528	1	0	0	0	1	0
MICAL3	435	833	583	488	456	479
MIR648	0	0	0	0	0	0
FLJ41941	0	0	0	0	0	0
PEX26	98	147	98	75	77	84
TUBA8	5	11	16	12	15	48
USP18	20	44	38	26	23	13
LOC100996415	0	0	0	0	0	0
LOC105379550	0	0	0	0	0	0
LOC642643	0	0	0	0	0	0
GGT3P	0	0	0	0	0	0
LOC102725072	1	2	4	3	2	3
LOC100996432	0	0	0	0	0	0
DGCR6	11	9	7	3	7	4
PRODH	6	18	7	5	11	7
DGCR5	21	43	40	27	23	21
DGCR9	18	25	17	31	13	12
DGCR10	3	6	3	2	3	2
DGCR2	425	813	615	496	440	458
DGCR11	3	7	3	9	2	2
DGCR14	29	43	24	35	26	29
TSSK2	4	2	2	2	1	1
GSC2	0	0	0	0	0	0
LINC01311	0	2	3	4	6	3
SLC25A1	149	378	331	155	157	129
CLTCL1	60	81	57	21	19	23
HIRA	142	214	177	180	138	111
MRPL40	74	144	90	82	64	74
C22orf39	39	84	45	61	49	57
UFD1L	137	205	193	119	117	119
CDC45	37	59	31	33	17	22
CLDN5	3	1	3	1	5	5
LINC00895	0	0	0	0	0	0
SEPT5	0	3	2	0	0	1
SEPT5-GP1BB	4	4	4	3	4	3
GP1BB	0	0	0	0	0	0
